strain	virus	country	region	year	date	Collection.Date	accession	GenomeName	Species	Strain	IsolationSource	IsolationCountry	Collection.Year	CollectionDate	GeographicLocation	HostCommonName	host	
GQ851608_ArB310/67	Orthoflavivirus nilense	Central African Republic	Africa	1967	1967-01-01	1967	GQ851608	West Nile virus ArB310/67	Orthoflavivirus nilense	ArB310/67		Central African Republic	1967	1967	Central African Republic			
KU978767_DAK AR MG 979	Orthoflavivirus nilense	Madagascar	Africa	1988	1988-02-12	1988-02-12	KU978767	West Nile virus strain DAK AR MG 979	Orthoflavivirus nilense	DAK AR MG 979	blood	Madagascar	1988	1988-02-12	Madagascar: Anjiro	Southern House Mosquito	Insect	
DQ176636_Madagascar-AnMg798	Orthoflavivirus nilense	Madagascar	Africa	1978	1978-01-01	1978	DQ176636	West Nile virus Madagascar-AnMg798	Orthoflavivirus nilense	Madagascar-AnMg798	parrot (Coracopsis vasa)	Madagascar	1978	1978	Madagascar			
AY701412_96-111	Orthoflavivirus nilense	Morocco	Africa	1996	1996-01-01	1996	AY701412	West Nile virus 96-111	Orthoflavivirus nilense	96-111	brain of horse with encephalitis	Morocco	1996	1996	Morocco	Horse	Nonhuman Mammal	
AY701413_04.05	Orthoflavivirus nilense	Morocco	Africa	2003	2003-01-01	2003	AY701413	West Nile virus 04.05	Orthoflavivirus nilense	4.05	brain of horse with encephalitis	Morocco	2003	2003	Morocco	Horse	Nonhuman Mammal	
MW383508_M6848-NA-2020	Orthoflavivirus nilense	Namibia	Africa	2020	2020-01-01	2020	MW383508	West Nile virus M6848-NA-2020	Orthoflavivirus nilense	M6848-NA-2020		Namibia	2020	2020	Namibia	Mosquito	Insect	
MW383507_M6646-NA-2020	Orthoflavivirus nilense	Namibia	Africa	2020	2020-01-01	2020	MW383507	West Nile virus M6646-NA-2020	Orthoflavivirus nilense	M6646-NA-2020		Namibia	2020	2020	Namibia	Mosquito	Insect	
GQ851607_IBAN7019	Orthoflavivirus nilense	Nigeria	Africa	1965	1965-01-01	1965	GQ851607	West Nile virus IBAN7019	Orthoflavivirus nilense	IBAN7019		Nigeria	1965	1965	Nigeria			
KY703854_ArD76986/1990/SN	Orthoflavivirus nilense	Senegal	Africa	1990	1990-01-01	1990	KY703854	West Nile virus ArD76986/1990/SN	Orthoflavivirus nilense	ArD76986/1990/SN		Senegal	1990	1990	Senegal	Mosquito	Insect	
KY703855_ArD96655/1993/SN	Orthoflavivirus nilense	Senegal	Africa	1993	1993-01-01	1993	KY703855	West Nile virus ArD96655/1993/SN	Orthoflavivirus nilense	ArD96655/1993/SN		Senegal	1993	1993	Senegal	Tick	Tick	
KY703856_ArD94343/1992/SN	Orthoflavivirus nilense	Senegal	Africa	1992	1992-01-01	1992	KY703856	West Nile virus ArD94343/1992/SN	Orthoflavivirus nilense	ArD94343/1992/SN		Senegal	1992	1992	Senegal	Mosquito	Insect	
GQ851606_ArD27875	Orthoflavivirus nilense	Senegal	Africa	1979	1979-01-01	1979	GQ851606	West Nile virus ArD27875	Orthoflavivirus nilense	ArD27875		Senegal	1979	1979	Senegal			
KM052152_349/77	Orthoflavivirus nilense	South Africa	Africa	1977	1977-01-01	1977	KM052152	West Nile virus 349/77	Orthoflavivirus nilense	349/77		South Africa	1977	1977	South Africa	Horse	Nonhuman Mammal	
EF429198_SA93/01	Orthoflavivirus nilense	South Africa	Africa	2001	2001-01-01	2001	EF429198	West Nile virus SA93/01	Orthoflavivirus nilense	SA93/01	patient with fever	 rash	 myalgia	 and encephalitis	South Africa	2001	2001	South Africa
EF429197_SPU116/89	Orthoflavivirus nilense	South Africa	Africa	1989	1989-01-01	1989	EF429197	West Nile virus SPU116/89	Orthoflavivirus nilense	SPU116/89	patient who died of necrotic hepatitis	South Africa	1989	1989	South Africa	Human	Human	
EF429199_SA381/00	Orthoflavivirus nilense	South Africa	Africa	2000	2000-01-01	2000	EF429199	West Nile virus SA381/00	Orthoflavivirus nilense	SA381/00	patient with fever	 rash	 myalgia	 and arthralgia	South Africa	2000	2000	South Africa
EF429200_H442	Orthoflavivirus nilense	South Africa	Africa	1958	1958-01-01	1958	EF429200	West Nile virus H442	Orthoflavivirus nilense	H442	patient with fever	 rash	 myalgia	 and arthralgia	South Africa	1958	1958	South Africa
KY523178_UG2274/Uganda/2009	Orthoflavivirus nilense	Uganda	Africa	2009	2009-06-01	2009-06	KY523178	West Nile virus UG2274/Uganda/2009	Orthoflavivirus nilense	UG2274/Uganda/2009	mosquito pool	Uganda	2009	2009-06	Uganda: Queen Elizabeth National Park	Mosquito	Insect	
LC318700_Zmq16m11	Orthoflavivirus nilense	Zambia	Africa	2016	2016-05-16	2016-05-16	LC318700	West Nile virus Zmq16m11	Orthoflavivirus nilense	Zmq16m11	Culex quinquefasciatus	Zambia	2016	2016-05-16	Zambia:Mongu district			
LC489409_Croc1102019ZM	Orthoflavivirus nilense	Zambia	Africa	2019	2019-01-01	2019	LC489409	West Nile virus Croc1102019ZM	Orthoflavivirus nilense	Croc1102019ZM		Zambia	2019	2019	Zambia			
KP780837_Sepperl	Orthoflavivirus nilense	Austria	Europe	2008	2008-08-29	2008-08-29	KP780837	West Nile virus Sepperl	Orthoflavivirus nilense	Sepperl		Austria	2008	2008-08-29	Austria			
KP780838_Mismo	Orthoflavivirus nilense	Austria	Europe	2009	2009-09-16	2009-09-16	KP780838	West Nile virus Mismo	Orthoflavivirus nilense	Mismo		Austria	2009	2009-09-16	Austria			
KP780839_Berliner	Orthoflavivirus nilense	Austria	Europe	2011	2011-03-14	2011-03-14	KP780839	West Nile virus Berliner	Orthoflavivirus nilense	Berliner		Austria	2011	2011-03-14	Austria			
KP780840_Tammy	Orthoflavivirus nilense	Austria	Europe	2014	2014-08-21	2014-08-21	KP780840	West Nile virus Tammy	Orthoflavivirus nilense	Tammy		Austria	2014	2014-08-21	Austria			
MF984337_Blood donor 1/Austria/2015 (BD1/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984337	West Nile virus Blood donor 1/Austria/2015 (BD1/15)	Orthoflavivirus nilense	Blood donor 1/Austria/2015 (BD1/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984338_Blood donor 2/Austria/2015 (BD2/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984338	West Nile virus Blood donor 2/Austria/2015 (BD2/15)	Orthoflavivirus nilense	Blood donor 2/Austria/2015 (BD2/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984339_Blood donor 3/Austria/2015 (BD3/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984339	West Nile virus Blood donor 3/Austria/2015 (BD3/15)	Orthoflavivirus nilense	Blood donor 3/Austria/2015 (BD3/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984340_Blood donor 4/Austria/2015 (BD4/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984340	West Nile virus Blood donor 4/Austria/2015 (BD4/15)	Orthoflavivirus nilense	Blood donor 4/Austria/2015 (BD4/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984341_Blood donor Blood donor 5/Austria/2015 (BD5/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984341	West Nile virus Blood donor Blood donor 5/Austria/2015 (BD5/15)	Orthoflavivirus nilense	Blood donor Blood donor 5/Austria/2015 (BD5/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984342_Patient 1/Austria/2015 (Pa1/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984342	West Nile virus Patient 1/Austria/2015 (Pa1/15)	Orthoflavivirus nilense	Patient 1/Austria/2015 (Pa1/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984343_Patient 2/Austria/2015 (Pa2/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984343	West Nile virus Patient 2/Austria/2015 (Pa2/15)	Orthoflavivirus nilense	Patient 2/Austria/2015 (Pa2/15)	urine	Austria	2015	2015	Austria	Human	Human	
MF984344_Goshawk/Austria/2015 (Bi1/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984344	West Nile virus Goshawk/Austria/2015 (Bi1/15)	Orthoflavivirus nilense	Goshawk/Austria/2015 (Bi1/15)	brain	Austria	2015	2015	Austria	Goshawk	Avian	
